id,employee_id,date,hours_worked
1,1,2023-11-05,1.5
2,1,2023-11-07,3
3,1,2023-11-09,4
4,1,2023-11-11,4
5,1,2023-11-13,4
6,1,2023-11-15,4
7,1,2023-11-20,10
8,1,2023-11-22,3
9,2,2023-11-04,1.5
10,2,2023-11-08,3
11,2,2023-11-10,4
12,2,2023-11-11,4
13,2,2023-11-15,4
14,2,2023-11-17,4
15,2,2023-11-19,10
16,2,2023-11-21,3
17,3,2023-11-04,1.5
18,3,2023-11-08,3
19,3,2023-11-10,4
20,3,2023-11-11,4
21,3,2023-11-15,4
22,3,2023-11-17,4
23,3,2023-11-19,10
24,3,2023-11-21,3
25,4,2023-11-04,1.5
26,4,2023-11-08,3
27,4,2023-11-10,4
28,4,2023-11-11,4
29,4,2023-11-15,4
30,4,2023-11-17,4
31,4,2023-11-19,10
32,4,2023-11-21,3
33,5,2023-11-05,1.5
34,5,2023-11-07,3
35,5,2023-11-09,4
36,5,2023-11-11,4
37,5,2023-11-13,4
38,5,2023-11-15,4
39,5,2023-11-20,10
40,5,2023-11-22,3
